gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Med10,1336,1470,1492,1632,214,1573,1358,1496,1222,1508,1547,1171
X4933416O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
X1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm47655,1,0,0,2,0,0,0,0,0,0,0,0
Gm3772,0,0,0,0,0,0,0,0,0,0,0,0
Gm47656,0,0,0,0,0,0,0,0,0,0,0,0
AU017674,0,0,0,0,0,0,0,0,0,0,0,0
Gm26018,0,0,0,0,0,0,0,0,0,0,0,0
X4930520P13Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm47706,0,0,0,0,0,0,0,0,0,0,0,0
Ice1,953,977,646,1213,196,912,1142,1511,1300,1895,1471,1061
X1700100L14Rik,0,0,0,0,0,0,0,0,1,0,0,0
D030007L05Rik,0,2,0,0,0,1,0,0,0,0,0,2
Gm36377,0,1,2,1,0,3,0,0,1,2,0,0
Gm36426,0,0,0,0,0,0,0,0,0,0,0,0
Gm36607,0,0,0,0,0,0,0,0,0,0,0,0
Adamts16,0,0,0,0,0,0,0,0,0,0,0,0
Gm36529,0,0,0,0,0,0,0,0,0,0,0,0
X8030423J24Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm38191,0,0,0,0,0,0,0,0,0,0,0,0
Mir466f.4,0,0,0,0,0,0,0,0,0,0,0,0
X1700112M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm47811,0,0,0,0,0,0,0,0,0,0,0,0
Gm47812,0,0,0,0,0,0,0,0,0,0,0,0
Gm40999,0,0,0,0,0,0,0,0,0,0,0,0
Irx1,0,0,0,0,0,0,0,0,0,0,1,0
Gm4052,0,0,0,0,0,0,0,0,0,0,0,0
Gm47836,0,0,0,0,0,0,0,0,0,0,0,0
Rpl9.ps4,1,4,2,9,0,2,3,7,4,7,7,5
Gm47838,0,0,0,0,0,0,0,0,0,0,0,0
Gm4057,0,0,1,1,0,0,0,0,0,0,0,0
Gm20554,0,0,0,0,0,0,0,0,0,0,0,0
Irx2,0,0,0,1,0,2,0,0,0,0,0,0
Gm47890,0,0,0,0,0,0,0,0,0,0,0,0
Gm47902,0,0,0,0,0,0,0,0,0,0,0,0
D730050B12Rik,0,0,0,0,0,0,0,0,0,0,0,0
Rpl31.ps2,0,0,0,0,0,0,0,0,0,0,0,0
Irx4,0,0,0,0,0,0,0,0,0,0,0,0
Gm48000,0,0,0,0,0,0,0,0,0,0,0,0
Gm10263,2,1,0,6,0,2,5,1,2,4,3,0
