EnsemblID,p22074-s001_Cont1_S141.unstranded_count,p22074-s002_Cont2_S142.unstranded_count,p22074-s003_Cont3_S143.unstranded_count,p22074-s004_FAC1_S144.unstranded_count,p22074-s005_FAC2_S145.unstranded_count,p22074-s006_FAC3_S146.unstranded_count,p22074-s007_LiproxposFAC1_S147.unstranded_count,p22074-s008_LiproxposFAC2_S148.unstranded_count,p22074-s009_LiproxposFAC3_S149.unstranded_count,p22074-s010_MTposFAC1_S150.unstranded_count,p22074-s011_MTposFAC2_S151.unstranded_count,p22074-s012_MTposFAC3_S152.unstranded_count
ENSMUSG00000103495,1,5,0,2,0,0,0,0,0,2,0,0
ENSMUSG00000099183,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102639,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104170,0,0,0,2,0,0,0,0,0,1,2,0
ENSMUSG00000087782,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085,4,6,1,4,0,6,11,0,7,8,2,0
ENSMUSG00000102664,1,1,2,1,3,4,2,2,5,2,3,0
ENSMUSG00000101476,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000101171,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000025935,8004,8180,8080,7586,1146,7216,7566,8287,6761,8531,8784,6994
ENSMUSG00000025937,2937,3036,3091,2263,367,2270,4215,4776,3336,4342,3865,3238
ENSMUSG00000102982,50,80,71,40,8,43,42,84,95,119,96,49
ENSMUSG00000067813,382,513,526,725,100,674,1281,1283,1085,941,883,718
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,3,8,12,16,0,13,5,7,2,2,4,7
ENSMUSG00000102166,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025932,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095853,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054493,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025930,0,0,1,0,0,1,0,0,0,0,2,0
ENSMUSG00000103492,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081201,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000082193,0,2,2,3,0,1,1,2,2,2,0,0
ENSMUSG00000032769,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737,2,4,3,12,0,0,6,2,0,3,5,1
ENSMUSG00000092083,0,0,1,0,0,0,1,0,1,0,0,0
ENSMUSG00000102937,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,3,0,1,0,0,0,0
ENSMUSG00000100814,0,0,0,0,0,0,0,0,0,0,0,0
