Name	Description	p22074.s001	p22074.s002	p22074.s003	p22074.s004	p22074.s005	p22074.s006	p22074.s007	p22074.s008	p22074.s009	p22074.s010	p22074.s011	p22074.s012
Peak1	na	8.854718642448606	8.82534247607706	8.869075137224115	9.919788861915489	9.95618432412435	9.834928846320539	9.003279974215992	9.047484975885913	9.273506257706792	9.051895330116153	9.094444164117425	9.117702376063903
Gm24270	na	6.227066494791019	5.764083219056757	5.744438003626502	5.964837122555728	5.577590517018783	5.677584377532172	5.621684659989638	5.511123984047191	5.240431807239671	5.452188290607913	5.377246706342403	5.1422394206589965
Hmg20a	na	9.091419750453952	9.067909454652908	9.003842184894339	9.075705449696821	9.163530911162123	8.974447021776106	9.09079862562502	9.18032627859831	9.276828031197718	9.147021029737367	9.225247712216406	9.230000658977028
AC159819	na	2.638634351191959	2.7198586961205784	2.706725103777416	3.067151035548239	2.674710809740843	2.764086448778079	2.6647695715689963	2.645783372927608	2.677866791027151	2.7278620314284385	2.7746281208657364	2.7562796724007073
Snx33	na	8.974563970651047	9.029785925375377	8.90196926570715	8.746266374376415	8.801892066083962	8.596696844983805	8.919807666585175	8.842542255737035	8.949281713455248	9.054547219515317	8.977788554936689	8.854409414741111
Imp3	na	8.832513780093416	8.676724526319642	8.730511784142	8.824840708594122	8.789756198400656	8.84985934729309	8.839902787385189	8.837986715291962	8.617195825941385	8.723913759834183	8.818756692556542	8.748236902874865
Snupn	na	8.426084818421785	8.527978591548038	8.434058728125517	8.248509292608206	8.463837088357776	8.445910385763906	8.405682215074995	8.41072663381373	8.437640470334745	8.401601596757377	8.538190067456595	8.545629295979513
Ptpn9	na	9.678598419702437	9.829081431438274	9.646250742819271	9.805818559084223	9.809488921079382	9.722046981455934	9.523980914578233	9.616417634827261	9.57814436526015	9.671931352549038	9.649970853942794	9.709000634079496
Gm10658	na	2.4497009515886763	2.4153401653024384	2.369334037874302	2.311752199328379	2.3208074796629776	2.2990782550912847	2.2569809201706867	2.4248588096883332	2.359328960809915	2.3914498567772675	2.3944459377290466	2.417254529904897
Sin3a	na	8.942827212469858	9.191910069700521	8.969620001555866	9.241166809869444	9.213737810237234	9.122177019570765	9.017598251140884	9.130368105781933	9.099876805280568	9.158435815539187	9.046011608968964	9.084310347020287
Man2c1os	na	3.152810123165705	3.116289804663835	3.154623301054484	3.2050039207342498	3.110587986912023	3.1610870296013736	3.127756169794539	3.1406744360884975	3.1856552395656323	3.0451518888701083	3.1905256685288235	3.0836194211983745
Man2c1	na	9.2657693331573	9.379127562877388	9.358367756867999	9.439845527908922	9.480180826076374	9.424544887173068	9.385583208994749	9.34162274948171	9.340015324132887	9.427804557468564	9.473637583269205	9.416707164788388
Neil1	na	7.300121794670587	7.440741366063598	7.385131671651437	7.431156794081211	7.436283231171456	7.325828866382012	7.253029262726203	7.249523247751096	7.252790023324033	7.410873501464696	7.48519354192635	7.236596191069456
Commd4	na	10.064912213912407	10.033055125269563	10.094073238091791	10.09274714455641	10.09239472096942	10.200021121676853	9.865050563384456	9.879399168872597	9.834063373474905	9.883800629827766	9.921247792270925	9.91216622312278
X1700017B05Rik	na	10.830198168705286	10.776286155783438	10.832754843611198	11.482387221433937	11.270028096698097	11.217539951267797	11.16303740109418	11.082942484616936	11.106660321895081	11.044170932420627	10.913219154904922	10.937066384734102
Ppcdc	na	8.86831820888142	8.867044907315657	8.805361656599311	8.631399008050352	8.829077782912544	8.707147273362061	8.620856464107561	8.84987762510247	8.74725846317421	8.951653816078068	8.876673195186461	8.81187266812061
Scamp5	na	9.683355173000336	9.7542828999313	9.727707340041848	9.333766764192507	9.41416417734278	9.442836202036522	9.328068406560586	9.495376472971824	9.537600674507974	9.55010120309667	9.651121908278805	9.587192317294821
Gm6166	na	0.34236890449869095	0.3397954053051217	0.3405389256754934	0.3744344579668494	0.3448128568837227	0.378865505276713	0.339204948176357	0.3388856880590557	0.32228788343361686	0.36727907588377945	0.336667302509522	0.36269423889446784
